Crime ID,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8e79e8a23267f3bf86d1b2981b7eaf3d9e1865a39043d381b65a214ab9a64d79,City of London Police,City of London Police,-0.084566,51.51769,On or near BLOMFIELD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
d53e9661db291a3d65f3bc9a8f744045bd413b5bbc257b235b38ddf7579d6f0c,City of London Police,City of London Police,-0.082913,51.513463,On or near LEADENHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
4985c833de9f0d739379c5dc418845452495c171f9185cf343466e4474c2ea96,City of London Police,City of London Police,-0.088727,51.513333,On or near Pedestrian Subway,E01032739,City of London 001F,Unable to prosecute suspect
6e764df1e9509b5c94bd19879da6d69cb1810a4e745fe8cc4cb9624accc34be8,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Investigation complete; no suspect identified
adf241e6b39f8a310d913cf31c035ca293c488fbd45019992257d9c72da0c08b,City of London Police,City of London Police,-0.106922,51.514204,On or near FLEET STREET,E01032740,City of London 001G,Suspect charged
3544583389e6dc75b86222b32f5f299d39fae5a962c821f7e24ea67407b08adf,City of London Police,City of London Police,-0.101452,51.51265,On or near ST ANDREW'S HILL,E01032739,City of London 001F,Investigation complete; no suspect identified
b597166b80033615f9caa067b1961cf2bcfe8aa7529340b91e64a0a15895e6ad,City of London Police,City of London Police,-0.083296,51.517058,On or near OLD BROAD STREET,E01032739,City of London 001F,Suspect charged
4f372cc880e378d96be4397fd1030d2fa60bcee0537022ebfdce9dc5342bd533,City of London Police,City of London Police,-0.082913,51.513463,On or near LEADENHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
000e355c493dd79d8c82c4110fe561b00a45def816ccfc1b32d98c0ddab18f4b,City of London Police,City of London Police,-0.083079,51.511578,On or near FENCHURCH STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
0cc8eb663870764f8d8543d1a8323fbaad9a0c9804a955c1b9aa82f123295962,City of London Police,City of London Police,-0.073065,51.51118,On or near GOODMAN'S YARD,E01000005,City of London 001E,Suspect charged
0ebd93c8853259b8eb49e8cc351c937f91f51874d53924355eb224359e5f5ed2,City of London Police,City of London Police,-0.104621,51.512692,On or near Supermarket,E01032740,City of London 001G,Unable to prosecute suspect
125a3109281a3d6c36790514a080429a894261ac7ca65f222a326be78749db9c,City of London Police,City of London Police,-0.102412,51.517297,On or near COCK LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
ab1c1cf0c157a16f4b72332faeb02b304d29be49a481be7cee5bf27cdb95f8c2,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Suspect charged
ae2fb91f24f02100ad3ef4ad8ad488eeba3d822a95027cf4ea68b3c1b35348f8,City of London Police,City of London Police,-0.080318,51.520678,On or near PRIMROSE STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
1efe3191a58f98283d56de6eaf6f3565e095c8f3facbab7ddaeee258088927da,City of London Police,City of London Police,-0.092719,51.512652,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
4fdbe1d0312f373bb65a6976b13c04a473da5845e21c2504123476d9204d28d1,City of London Police,City of London Police,-0.101575,51.513857,On or near LUDGATE HILL,E01032739,City of London 001F,Investigation complete; no suspect identified
9c0e241ad2a871891c308cd8404c0cbdd94377964e165d7825aa34b6f58bfcdf,City of London Police,City of London Police,-0.089838,51.516067,On or near COLEMAN STREET,E01032739,City of London 001F,Unable to prosecute suspect
64ee80ed474ee93b14860eb25c93e44b5b66f2e9a22b87920f52731cdab04407,City of London Police,City of London Police,-0.085669,51.5151,On or near AUSTIN FRIARS,E01032739,City of London 001F,Investigation complete; no suspect identified
4ac4bf6f2800c0d08e5169c76fee6b9e4985fd54f5afd5c85bda0676ed19a17e,City of London Police,City of London Police,-0.083417,51.513148,On or near WHITTINGTON AVENUE,E01032739,City of London 001F,Investigation complete; no suspect identified
0b88154f6602d117f78d92f48cd0d26fcf13ee92d36dfa8ab406c24f39b56ab5,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Local resolution
0f0cb393bc504fc36b8247020edc7b06059c28b871a49653b56deec382923420,City of London Police,City of London Police,-0.094628,51.514203,On or near CHEAPSIDE,E01032739,City of London 001F,Suspect charged
fbfcfb4ef9b49298387762f14d0b2187992d1573f24b35c8f8e5810737bfd610,City of London Police,City of London Police,-0.088955,51.513382,On or near LOMBARD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
5fe7d927bfe3320913ee67e41f0872b68739f7412a936026fcc81edf3fc785a2,City of London Police,City of London Police,-0.087086,51.512596,On or near LOMBARD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
bf85a7d35b971a6d0e1e3878b74abd4e7d92e20bbb3b3fbbd999085ec75e4383,City of London Police,City of London Police,-0.109155,51.516668,On or near FETTER LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
19a15f03a104596102f2d15168019cbddb84228f5300408f8370b829d89c1f30,City of London Police,City of London Police,-0.096075,51.514766,On or near FOSTER LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
2f1e166d6827333bdd5a366917391652c10961b211ed74152213065c35f4ef3c,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Investigation complete; no suspect identified
bb4fc2606b45fcd47b97e10a3bd1be8bd9b749c03784211185070d7718385769,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
